"threshold","f1score","precision","recall"
0.01,0.0303255222139752,0.015396210163652,1
0.0353846153846154,0.0365005424031651,0.0185895352616185,1
0.0607692307692308,0.0453428458184701,0.0231973396058074,1
0.0861538461538462,0.0573606097071801,0.029527152591369,1
0.111538461538462,0.0735560735560736,0.0381925766541151,0.993006993006993
0.136923076923077,0.0968349016253208,0.0509084367692031,0.989510489510489
0.162307692307692,0.128134974920201,0.0685365853658537,0.982517482517482
0.187692307692308,0.171393341553637,0.0939824205544287,0.972027972027972
0.213076923076923,0.227348993288591,0.129170638703527,0.947552447552448
0.238461538461538,0.303200449185851,0.180602006688963,0.944055944055944
0.263846153846154,0.385401459854015,0.243542435424354,0.923076923076923
0.289230769230769,0.470260223048327,0.320253164556962,0.884615384615385
0.314615384615385,0.544827586206897,0.405821917808219,0.828671328671329
0.34,0.617283950617284,0.507900677200903,0.786713286713287
0.365384615384615,0.673981191222571,0.610795454545455,0.751748251748252
0.390769230769231,0.70298769771529,0.706713780918728,0.699300699300699
0.416153846153846,0.711864406779661,0.771428571428571,0.660839160839161
0.441538461538462,0.704453441295547,0.836538461538462,0.608391608391608
0.466923076923077,0.699360341151386,0.896174863387978,0.573426573426573
0.492307692307692,0.678571428571428,0.938271604938272,0.531468531468531
0.517692307692308,0.641860465116279,0.958333333333333,0.482517482517482
0.543076923076923,0.617224880382775,0.977272727272727,0.451048951048951
0.568461538461538,0.562814070351759,1,0.391608391608392
0.593846153846154,0.506527415143603,1,0.339160839160839
0.619230769230769,0.44141689373297,1,0.283216783216783
0.644615384615385,0.388732394366197,1,0.241258741258741
0.67,0.337209302325581,1,0.202797202797203
0.695384615384615,0.27710843373494,1,0.160839160839161
0.720769230769231,0.245398773006135,1,0.13986013986014
0.746153846153846,0.234567901234568,1,0.132867132867133
0.771538461538462,0.195583596214511,1,0.108391608391608
0.796923076923077,0.166666666666667,1,0.0909090909090909
0.822307692307692,0.136807817589577,1,0.0734265734265734
0.847692307692308,0.0996677740863787,1,0.0524475524475524
0.873076923076923,0.0869565217391304,1,0.0454545454545455
0.898461538461538,0.054421768707483,1,0.027972027972028
0.923846153846154,0.0410958904109589,1,0.020979020979021
0.949230769230769,0.0343642611683849,1,0.0174825174825175
0.974615384615385,0.0275862068965517,1,0.013986013986014
1,0.0207612456747405,1,0.0104895104895105
